title
Astérix et Obélix Mission Cléopatre
Camping
Brice de Nice
La vérité si je mens
Bienvenue chez les chtis
La cage aux folles
Didier
Le diner de cons
Le père noël est une ordure
Les aventures de Rabbi Jacob
Le prénom
Les bronzés font du ski
Les visiteurs
La cité de la peur
Un air de famille
Very Bad Trip
Les 3 frères
Le pari
Forest Gump
La soupe aux choux
Le bon la brute et le truand
Léon
Intouchable
Les bronzés 
la vie est un long fleuve tranquille
The mask
Fou d'irène
La grande vadrouille
Les tuches
La chèvre
matrix
C'est arrivé près de chez vous
5ème Element
Trois cents
Star Wars
Titanic
Pulp fiction
OSS117
Le seigneur des anneaux
Un indien dans la ville
Le Parrain
Retour vers le futur
Truman Show
Rambo
Spiderman
Autant en emporte le vent
Rocky
Le corniaud
La folie des grandeurs
Il était une fois dans l'ouest
Jurassic park
Les Choristes
Amélie Poulain
Bruce tout Puissant
The Big Lebowsky
La Haine
Rasta Rocket
Karaté Kid
Dirty dancing
Rrrr
Dikkenek
Harry Potter
Terminator
Les tontons flingueurs
Le péril jeune
Men in black
Manon des sources
Qui veut le peau de Roger Rabbit
Scarface
Usual Suspect
l'Aile ou la cuisse
Cyrano de Bergerac
Le grand bleu
La gloire de mon père
E.T
Disney
Aladdin
Le roi Lyon
Toys story
La reine neige
Némo
Shrek
Pocahontas
l'Age De Glace
Moi Moche et Mechant
Ghost
james Bond
Avatar
Pirate des caraibes
